px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.462	1.477	0.083	F
0.026	0.399	0.298	F
0.304	1.128	0.064	F
0.723	0.346	0.174	F
0.609	0.509	-0.083	F
0.511	0.465	0.320	F
0.672	1.336	0.742	F
0.213	0.795	-0.077	F
0.310	0.531	0.063	F
0.174	0.570	0.063	F
nan	nan	nan	F
0.407	0.726	-0.067	F
0.093	0.216	-0.528	F
0.801	0.601	0.238	F
0.462	0.825	0.267	F
0.315	0.884	0.606	F
0.609	0.201	-0.030	F
0.409	0.752	0.052	F
0.442	0.652	0.095	F
0.570	0.722	0.401	F
0.267	0.593	-0.524	F
0.870	0.268	0.374	F
0.064	0.878	0.366	F
-0.000	0.732	0.000	F
