px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.841	1.000	0.540	F
0.909	1.000	-0.416	F
0.141	1.000	-0.990	F
-0.757	1.000	-0.654	F
-0.959	1.000	0.284	F
-0.279	1.000	0.960	F
0.841	3.000	0.540	F
0.909	3.000	-0.416	F
0.141	3.000	-0.990	F
-0.757	3.000	-0.654	F
-0.959	3.000	0.284	F
-0.279	3.000	0.960	F
0.841	5.000	0.540	F
0.909	5.000	-0.416	F
0.141	5.000	-0.990	F
-0.757	5.000	-0.654	F
-0.959	5.000	0.284	F
-0.279	5.000	0.960	F
0.841	7.000	0.540	F
0.909	7.000	-0.416	F
0.141	7.000	-0.990	F
-0.757	7.000	-0.654	F
-0.959	7.000	0.284	F
-0.279	7.000	0.960	F
