px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.635	0.775	0.638	F
0.818	0.871	-0.327	F
0.082	0.820	-0.970	F
-0.118	0.805	-0.039	F
-1.038	0.781	0.307	F
-0.089	0.791	0.049	F
0.649	2.603	0.704	F
-0.051	2.618	0.039	F
0.102	2.664	-0.912	F
-0.797	2.596	-0.562	F
-1.001	2.598	0.368	F
-0.279	2.536	0.990	F
0.571	4.441	0.790	F
0.829	4.385	-0.184	F
0.033	4.506	-0.789	F
-0.869	4.463	-0.478	F
-1.089	4.404	0.469	F
-0.336	4.405	1.082	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
