px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.225	0.604	0.131	F
-0.015	0.735	-0.065	F
-0.012	0.742	-0.095	F
0.067	0.494	-0.546	F
-0.202	0.577	0.156	F
0.285	0.468	-0.271	F
0.032	0.648	-0.245	F
0.128	0.740	0.227	F
0.007	0.722	0.074	F
-0.382	0.518	0.098	F
-0.185	0.732	-0.350	F
-0.128	0.693	-0.051	F
0.006	0.732	-0.001	F
0.219	0.581	0.226	F
-0.384	0.471	-0.079	F
0.073	0.595	-0.352	F
-0.186	0.753	0.012	F
0.262	0.656	0.081	F
0.168	0.804	-0.080	F
-0.070	0.761	-0.174	F
0.047	0.364	0.131	F
0.478	0.489	-0.140	F
0.071	0.743	0.318	F
-0.188	0.696	0.203	F
