px	py	pz
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.239	0.868	0.281	F
0.043	0.721	0.128	F
-0.319	0.504	0.075	F
-0.229	0.675	0.289	F
-0.045	0.567	0.373	F
-0.020	0.712	0.042	F
-0.007	0.732	-0.003	F
0.002	0.733	-0.004	F
0.150	0.607	-0.150	F
-0.033	0.659	0.191	F
-0.523	0.814	0.148	F
0.158	0.653	0.136	F
0.196	0.888	0.521	F
-0.131	0.599	0.181	F
-0.381	0.531	0.204	F
0.386	0.881	0.048	F
-0.073	0.770	0.683	F
-0.092	0.420	0.591	F
-0.000	0.732	-0.003	F
0.274	0.547	0.131	F
0.002	0.732	0.003	F
0.029	0.668	-0.205	F
-0.006	0.713	0.046	F
0.011	0.735	0.015	F
