px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.040	0.756	0.071	F
-0.147	0.823	0.148	F
0.244	0.794	-0.028	F
-0.041	0.566	0.372	F
-0.002	0.809	-0.258	F
0.495	0.830	-0.269	F
0.595	0.595	0.127	F
0.360	0.476	0.362	F
0.046	0.681	0.198	F
0.121	0.973	-0.152	F
0.203	0.739	-0.216	F
0.187	0.656	-0.374	F
-0.049	0.637	-0.353	F
-0.536	0.914	-0.120	F
-0.044	0.726	-0.023	F
0.066	0.640	-0.137	F
0.075	0.613	-0.359	F
0.881	0.468	-0.221	F
0.433	0.939	-0.310	F
-0.232	0.457	-0.312	F
0.468	0.898	0.026	F
0.036	0.737	-0.003	F
-0.129	0.753	-0.068	F
0.017	0.710	-0.518	F
