px	py	pz
0.841	-1.000	0.540
0.909	-1.000	-0.416
0.141	-1.000	-0.990
-0.757	-1.000	-0.654
-0.959	-1.000	0.284
-0.279	-1.000	0.960
-0.101	0.628	-0.137
0.006	0.735	-0.010
0.000	0.732	-0.003
-0.232	0.630	0.107
0.006	0.731	0.002
0.198	0.664	-0.041
-0.071	0.629	-0.179
0.096	0.699	0.254
-0.114	0.805	0.116
-0.047	0.596	0.200
0.017	0.766	-0.123
0.023	0.727	0.002
0.081	0.821	0.216
-0.151	0.671	0.069
0.179	0.715	0.038
-0.002	0.732	0.002
-0.001	0.732	-0.001
-0.009	0.733	0.005
0.229	0.706	0.049
-0.019	0.736	-0.007
-0.137	0.678	0.062
0.016	0.723	0.014
0.076	0.709	0.202
0.027	0.745	0.025
