px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.044	0.738	-0.052	F
0.447	0.415	0.063	F
0.191	0.863	-0.279	F
-0.302	0.489	0.251	F
-0.006	0.733	0.026	F
-0.064	0.538	0.419	F
-0.130	0.574	-0.256	F
0.030	0.727	0.018	F
-0.281	0.817	-0.200	F
0.301	0.508	0.200	F
-0.265	0.881	0.301	F
0.361	0.522	-0.123	F
0.030	0.743	0.165	F
0.335	0.511	0.066	F
-0.005	0.731	-0.001	F
0.019	0.733	-0.081	F
-0.094	0.723	0.127	F
0.016	0.732	-0.135	F
0.079	0.702	-0.131	F
-0.020	0.725	-0.038	F
-0.266	0.863	0.198	F
-0.020	0.559	0.328	F
0.105	0.755	0.029	F
-0.014	0.729	0.160	F
