px	py	pz
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.041	0.661	0.199	F
0.063	0.704	-0.018	F
0.002	0.732	0.003	F
-0.074	0.728	-0.199	F
0.005	0.732	-0.007	F
0.186	0.635	0.161	F
-0.005	0.728	-0.021	F
0.212	0.604	0.046	F
0.032	0.735	0.014	F
-0.177	0.790	-0.173	F
-0.001	0.732	0.003	F
-0.003	0.732	-0.002	F
-0.001	0.730	-0.019	F
-0.017	0.725	0.015	F
0.002	0.731	-0.000	F
-0.015	0.730	0.003	F
-0.000	0.732	0.003	F
0.003	0.732	0.003	F
-0.008	0.733	0.005	F
0.001	0.732	-0.002	F
0.021	0.960	-0.031	F
0.179	0.662	-0.053	F
0.003	0.732	-0.004	F
0.076	0.814	0.194	F
