px	py	pz
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.239	0.868	0.281	F
0.043	0.721	0.128	F
-0.007	0.732	0.004	F
-0.002	0.732	-0.005	F
0.002	0.729	0.012	F
0.308	0.548	0.326	F
0.043	0.695	0.068	F
0.002	0.733	-0.004	F
0.150	0.607	-0.150	F
-0.060	0.742	-0.012	F
0.237	0.630	-0.057	F
0.158	0.653	0.136	F
0.079	0.697	-0.025	F
-0.131	0.599	0.181	F
-0.381	0.531	0.204	F
0.386	0.881	0.048	F
-0.023	0.676	0.153	F
0.014	0.737	-0.019	F
-0.000	0.732	-0.003	F
-0.002	0.731	0.011	F
0.002	0.732	0.003	F
0.029	0.668	-0.205	F
0.211	0.534	0.289	F
0.011	0.735	0.015	F
